date,city,מחוז,age,דסק,pop,נותרים לחיסון,לא מחוסנים ולא מחלימים,מחלימים,מחלימים שהתחסנו,מחוסנים מלא,מחוסנים מלא שדעך חיסונם,מחוסנים ב3 מנות,בתהליך חיסון,מחוסנים מנה 1 ומעלה,אוכלוסיה פוטנציאלית לחיסון מנה 1,% מחוסנים מנה 1 מכלל האוכלוסיה,% מחוסנים מנה 1 מהפוטנציאל,מחוסנים מנה 2 מכלל האוכלוסיה,אוכלוסיה פוטנציאלית לחיסון מנה 2,% מחוסנים מנה 2,% מחוסנים מנה 2 ממתחסני מנה 1,מחוסנים מנה 3 ומעלה,אוכלוסיה פוטנציאלית לחיסון מנה 3,% מחוסנים מנה 3 מהפוטנציאל
25/08/2021,ניצני סיני,מחוז דרום,16_18,דסק כללי,6,0,0,0,0,5,8,0,2,15,6,250%,250%,13,13,217%,100%,0,0,0%
25/08/2021,ניצני עוז,מחוז מרכז,16_18,דסק כללי,54,5,5,2,4,12,31,0,0,47,53,87%,89%,44,46,81%,96%,0,0,0%
25/08/2021,ניצנים,מחוז אשקלון,16_18,דסק כללי,9,3,3,0,2,1,3,0,0,6,9,67%,67%,4,6,44%,67%,0,0,0%
25/08/2021,ניר אליהו,מחוז מרכז,16_18,דסק כללי,18,1,1,0,0,6,11,0,0,17,18,94%,94%,17,17,94%,100%,0,0,0%
25/08/2021,ניר בנים,מחוז אשקלון,16_18,דסק כללי,42,9,9,0,0,13,20,0,0,33,42,79%,79%,33,33,79%,100%,0,0,0%
25/08/2021,ניר גלים,מחוז מרכז,16_18,דסק כללי,141,57,57,4,10,22,46,0,2,80,140,57%,57%,69,77,49%,90%,0,0,0%
25/08/2021,ניר דוד (תל עמל),מחוז צפון,16_18,דסק כללי,33,6,6,0,0,8,19,0,0,27,33,82%,82%,27,27,82%,100%,0,0,0%
25/08/2021,"ניר ח""ן",מחוז אשקלון,16_18,דסק כללי,30,8,8,1,3,4,14,0,0,21,28,70%,75%,21,21,70%,100%,0,0,0%
25/08/2021,ניר יפה,מחוז צפון,16_18,דסק כללי,48,0,0,3,0,13,28,0,4,45,47,94%,96%,43,43,90%,100%,0,0,0%
25/08/2021,ניר יצחק,מחוז דרום,16_18,דסק כללי,18,10,10,0,0,3,5,0,0,8,18,44%,44%,8,8,44%,100%,0,0,0%
25/08/2021,ניר ישראל,מחוז אשקלון,16_18,דסק כללי,54,5,5,1,0,13,32,1,2,48,54,89%,89%,47,48,87%,98%,1,0,0%
25/08/2021,ניר משה,מחוז דרום,16_18,דסק כללי,24,3,3,0,3,7,11,0,0,21,23,88%,91%,19,21,79%,90%,0,0,0%
